Item,Result,Margin.sequences.
tVisualExtendGeometric1c,0 ," [High:0.134,Medium:0.492,Low:0.375]"
tVisualTableExtendOtherRecursive3a,0 ," [High:0.102,Medium:0.483,Low:0.415]"
tSolveGeometricProblems2a,0 ," [High:0.079,Medium:0.475,Low:0.446]"
tSolveArithmeticProblems2b,0 ," [High:0.057,Medium:0.433,Low:0.51]"
tSolveArithmeticProblems3a,0 ," [High:0.038,Medium:0.399,Low:0.562]"
tSolveArithmeticProblems2a,0 ," [High:0.026,Medium:0.376,Low:0.598]"
tSolveArithmeticProblems3b,0 ," [High:0.018,Medium:0.361,Low:0.621]"
tSolveArithmeticProblems1a,0 ," [High:0.011,Medium:0.343,Low:0.646]"
tSolveArithmeticProblems1b,0 ," [High:0.008,Medium:0.335,Low:0.657]"
tVerbalRuleTableVisualArithmetic1a,0 ," [High:0.007,Medium:0.332,Low:0.661]"
tVisualExtendArithmetic2b,0 ," [High:0.007,Medium:0.329,Low:0.664]"
